event_source,event_title,matched_role_id,matched_role_name,confidence_score,match_type
schedule_bot,Community Night,1.210262400985727e+18,Community Manager,0.75,suggested
schedule_bot,Faceless Meditation,1392211365455724605,Meditation,1.0,manual
schedule_bot,Sign Sessions - ASL club - Xanori,1392210986387116173,ASL Class,1.0,manual
schedule_bot,Intro to DJing with Embex,1.1630473108890624e+18,DJ,1.0,automatic
schedule_bot,Vibe Session - Lounge and Cypher,1.3922102914370806e+18,VIBE,1.0,automatic
schedule_bot,Karokee Night,,,0.0,unmatched
schedule_bot,Guide to Go-Go dancing with Gaster,1392211149595869254,GOGO Dance,1.0,manual
schedule_bot,Yoga and Stretching with BASICBIT,1.3922105664075244e+18,YOGA,1.0,automatic
schedule_bot,Creative Coding Club with Joyful Decay,1.3922108864874458e+18,Coding,1.0,automatic
schedule_bot,ASL class with Wardragon,1.3922109863871163e+18,ASL Class,1.0,automatic
schedule_bot,Producers Chat & Jam Session,1392213840225112155,Music Production,1.0,manual
schedule_bot,Wotagei with Ruriki,1392210655318114415,Wotagei,1.0,manual
schedule_bot,3D Modeling with Lowdisan,1392210837330067576,Blender/Unity,1.0,manual
schedule_bot,BEYOND DANCE w/ NJNA,1.3922133304579236e+18,Beyond Dance,1.0,automatic
schedule_bot,Vocal classes with FoxyFoo,1.3922105109712776e+18,Vocal Class,1.0,automatic
schedule_bot,Movie Night Mondays,,,0.0,unmatched
schedule_bot,Breakin' Class with Ellie,1.3922107041400794e+18,Breakin',1.0,automatic
schedule_bot,Snapshot Safari with Thunderhook,1392210170439929877,Photography,1.0,manual
schedule_bot,Esoterics Class w/ FoxyFoo,1.3922104548222607e+18,Esoterics,1.0,automatic
schedule_bot,VKET Excap Tracker Q&A w/ Elecholic Tech + Vibe Session w/ Ministry - LIVE DJ Dulce Arma!,1.1630473108890624e+18,DJ,1.0,automatic
schedule_bot,Yoga/Stretching with BASICBIT,1.3922105664075244e+18,YOGA,1.0,automatic
schedule_bot,3D Modeling Class,1392210837330067576,Blender/Unity,1.0,manual
schedule_bot,Vibe Session AT VKET with Jeffe333!!,1.3922102914370806e+18,VIBE,1.0,automatic
schedule_bot,VR FUNDAMENTALS with NJNA,1392213286644219994,VR Fundamentals,1.0,manual
schedule_bot,Weekly Staff Meeting,,,0.0,unmatched
schedule_bot,VKET - Vibe Session - Lounge and Cypher - Chimera IX,1.3922102914370806e+18,VIBE,1.0,automatic
schedule_bot,Q&A - Panda,,,0.0,unmatched
schedule_bot,PJKT Dance Cypher Collab w/ Ministry - VirtuaLilly on the decks!,,,0.0,unmatched
schedule_bot,Portal Posse - Megaman,1392212045323305020,Portal Posse,1.0,manual
