role_id,role_name,user_id,username,total_events,schedule_bot_events,discord_scheduled_events,manual_interest_events,source_types
1163047310889062400,DJ,82611987091034112,ironstrom_ackure,1,1,0,0,schedule_bot
1392210704140079360,Breakin',92804996990500864,elliesaurus,3,3,0,0,schedule_bot
1392210566407524352,YOGA,95313747517636608,oky,2,2,0,0,schedule_bot
1392211149595869184,GOGO Dance,95313747517636608,oky,2,2,0,0,schedule_bot
1210262400985726976,Community Manager,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210170439929856,Photography,101499886884651008,no_44,2,2,0,0,schedule_bot
1392210291437080576,VIBE,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210454822260736,Esoterics,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210566407524352,YOGA,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210886487445760,Coding,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210986387116032,ASL Class,101499886884651008,no_44,4,4,0,0,schedule_bot
1392210986387116288,ASL Class,101499886884651008,no_44,1,1,0,0,schedule_bot
1392211149595869184,GOGO Dance,101499886884651008,no_44,1,1,0,0,schedule_bot
1392211365455724544,Meditation,101499886884651008,no_44,2,2,0,0,schedule_bot
1392212045323304960,Portal Posse,101499886884651008,no_44,1,1,0,0,schedule_bot
1392213840225112064,Music Production,101499886884651008,no_44,1,1,0,0,schedule_bot
1392210704140079360,Breakin',102911741737828352,mitsukaki,1,0,1,0,discord_scheduled
1392210510971277568,Vocal Class,103767981187694592,mitey,1,0,1,0,discord_scheduled
1392210566407524352,YOGA,103767981187694592,mitey,2,0,1,1,"discord_scheduled,manual_discord_interest"
1392210704140079360,Breakin',103767981187694592,mitey,1,0,1,0,discord_scheduled
1392211365455724288,Unknown Role (1392211365455724288),103767981187694592,mitey,1,0,0,1,manual_discord_interest
1163047310889062400,DJ,105427667146293248,kiotakashi,2,2,0,0,schedule_bot
1392209677282185728,Animation Dance,105427667146293248,kiotakashi,1,1,0,0,schedule_bot
1392210291437080576,VIBE,105427667146293248,kiotakashi,13,13,0,0,schedule_bot
1392210566407524352,YOGA,105427667146293248,kiotakashi,5,5,0,0,schedule_bot
1392210837330067712,Blender/Unity,105427667146293248,kiotakashi,4,4,0,0,schedule_bot
1392211149595869184,GOGO Dance,105427667146293248,kiotakashi,14,14,0,0,schedule_bot
1392211204864344064,Pole Dancing,105427667146293248,kiotakashi,1,1,0,0,schedule_bot
1392212045323304960,Portal Posse,105427667146293248,kiotakashi,4,4,0,0,schedule_bot
1392213330457923584,Beyond Dance,105427667146293248,kiotakashi,3,3,0,0,schedule_bot
1392213888522518784,Sociology,105427667146293248,kiotakashi,1,1,0,0,schedule_bot
1392210291437080576,VIBE,106429894430302208,merton,1,1,0,0,schedule_bot
1392210566407524352,YOGA,106429894430302208,merton,1,1,0,0,schedule_bot
1392210837330067712,Blender/Unity,106429894430302208,merton,1,1,0,0,schedule_bot
1392212045323304960,Portal Posse,106429894430302208,merton,1,1,0,0,schedule_bot
1392210170439930112,Photography,107570567015579648,evebynx,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,119945788586590208,njnagrimsdottir,1,0,1,0,discord_scheduled
1392210566407524352,YOGA,119945788586590208,njnagrimsdottir,1,0,1,0,discord_scheduled
1392210566407524352,YOGA,126086140846407680,dro29,5,4,1,0,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',126086140846407680,dro29,4,3,1,0,"discord_scheduled,schedule_bot"
1392210837330067712,Blender/Unity,126086140846407680,dro29,3,3,0,0,schedule_bot
1392210704140079360,Breakin',135691742937612288,ayeton,1,0,1,0,discord_scheduled
1392210704140079360,Breakin',147237351788118018,_ratpunk,1,0,1,0,discord_scheduled
1392209391872250112,House Dance,148388754044747776,tarkus_,1,1,0,0,schedule_bot
1392210075950649088,Waltz,148388754044747776,tarkus_,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,148745430996353024,elkeila,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,150338531582148608,notarobotcat,1,0,1,0,discord_scheduled
1392210566407524352,YOGA,150338531582148608,notarobotcat,3,0,2,1,"discord_scheduled,manual_discord_interest"
1392210986387116032,ASL Class,150338531582148608,notarobotcat,2,0,0,2,manual_discord_interest
1392213840225112064,Music Production,150338531582148608,notarobotcat,1,0,0,1,manual_discord_interest
1163047310889062400,DJ,163910917870845962,dreivan,1,1,0,0,schedule_bot
1163047310889062400,DJ,166322439351959552,ashmoney69,1,1,0,0,schedule_bot
1392210704140079360,Breakin',169968484263002113,madness480,1,1,0,0,schedule_bot
